Time (s),Original (counts),Bandpass (counts),Smoothed (counts)
2.4808,24830,33876.5,10653.9
2.4872,-16,-10549.7,9943.1
2.4936,430,6154.8,9323.0
2.5000,40960,35197.9,7088.9
2.5064,-10620,-12522.9,4349.4
2.5128,-4510,-360.6,4437.2
2.5192,22830,10408.6,7865.6
2.5256,-21400,-9661.2,6679.3
2.5320,39190,24139.4,5283.6
2.5384,7560,16465.8,8701.2
2.5448,4510,-5127.3,3908.1
2.5512,405,4832.5,-1837.9
2.5575,60,-9719.1,-3661.6
2.5639,-22330,-12577.8,-11238.4
2.5703,890,-17744.6,-10637.3
2.5767,-28040,-10567.0,-7604.8
2.5831,19890,-990.1,-13122.3
2.5895,-30500,-19645.4,-15950.0
2.5959,1450,-4655.1,-22552.7
2.6023,-20150,-28654.1,-29984.2
2.6087,-70600,-59372.4,-32541.2
2.6151,-13800,-32002.3,-36547.6
2.6215,-52280,-42522.8,-37030.9
2.6279,-18700,-25666.8,-32619.9
2.6343,520,-6412.9,-22054.4
2.6407,-46230,-37620.5,-14962.8
2.6471,4350,-12315.8,-16286.4
2.6535,-40,9909.8,-9141.7
2.6598,990,-10010.6,-3058.7
2.6662,-21580,-21510.7,-4698.4
2.6726,-5950,-6814.2,-1279.0
2.6790,37620,29501.9,-2692.0
2.6854,-8870,-4676.1,-8747.0
2.6918,-28070,-39061.0,-7011.7
2.6982,169,5566.2,-7031.0
2.7046,50,-10803.8,-14035.2
2.7110,-33640,-31231.4,-16971.9
2.7174,12280,8262.8,-12299.1
2.7238,-6260,-14898.2,-10609.2
2.7302,-34140,-25387.6,-12747.2
2.7366,25220,5547.0,-5840.1
2.7430,-20720,-6832.5,2644.4
2.7494,13850,-3225.0,5798.4
2.7558,14900,18498.7,10728.2
2.7621,26360,24306.9,7872.4
2.7685,27850,15172.5,2965.9
2.7749,-19150,-7600.0,5098.4
2.7813,2640,-19001.3,207.4
2.7877,-30840,-15643.2,-4430.4
2.7941,37090,15386.4,-3999.1
2.8005,-27,13716.3,-5343.5
2.8069,40,-21002.4,-1618.9
2.8133,-10010,3961.9,515.3
2.8197,19660,-1147.0,-2575.8
2.8261,-30860,-20722.4,-3494.7
2.8325,26670,15215.0,-2340.5
2.8389,2910,-1882.2,-1699.1
2.8453,-14970,-9435.0,-6241.8
2.8517,28210,9254.2,-7081.3
2.8581,-31390,-19619.3,-2104.2
2.8645,1,-15239.2,-902.2
2.8708,760,-97.5,-539.1
2.8772,9880,11589.8,-5268.1
2.8836,40810,23995.0,-5934.6
2.8900,-25080,-13273.6,3087.2
2.8964,-14920,-34186.6,2613.6
2.9028,-15340,-7881.5,1281.8
2.9092,48420,36556.9,3328.5
2.9156,25980,27122.9,2673.6
2.9220,-8930,-19125.3,9221.8
2.9284,4150,8782.4,10779.6
2.9348,25150,8458.1,1763.3
2.9412,-25050,-15537.5,-3558.2
2.9476,30860,14950.5,-1680.4
2.9540,-8290,-7275.6,-281.5
2.9604,-14660,-16078.2,-6288.6
2.9668,28920,13393.2,-6155.3
2.9731,-20250,-7955.9,-1868.3
2.9795,5810,-17640.0,-5161.5
2.9859,-17700,-3848.9,-2215.2
2.9923,35650,14690.1,1535.9
2.9987,-3090,7525.8,2199.1
3.0051,4866,-15289.2,7516.7
3.0115,0,13135.0,3990.7
3.0179,37940,13397.5,-3628.2
3.0243,-23080,-7414.7,-7722.9
3.0307,7910,-13621.6,-12320.6
3.0371,-44000,-38955.9,-13531.6
3.0435,-6340,-11040.2,-15189.6
3.0499,14360,638.9,-12173.8
3.0563,-31230,-21141.3,-5689.7
3.0627,29570,9666.8,-5136.0
3.0691,-73,5938.3,-2480.8
3.0754,10,-7868.1,-2756.8
3.0818,-2060,-11186.3,-8237.9
3.0882,-31150,-26211.8,-10269.5
3.0946,22060,5937.4,-12973.8
3.1010,-12620,-7096.5,-15554.7
3.1074,-27190,-39713.9,-13604.8
3.1138,1,1044.2,-8367.0
3.1202,9110,-815.1,-7587.8
3.1266,-24140,-22721.3,-9033.4
3.1330,25450,12511.5,-2370.7
3.1394,2080,8030.5,1134.7
3.1458,-2557,-20241.1,-261.9
3.1522,0,9466.3,5277.3
3.1586,35870,17537.8,9673.7
3.1650,-6840,-1055.8,10591.8
3.1714,32740,23040.3,17544.8
3.1777,33810,26952.6,23127.8
3.1841,8270,12900.9,18303.2
3.1905,44730,24900.5,16133.4
3.1969,8610,22405.4,17362.2
3.2033,25160,1166.6,10191.5
3.2097,-21260,-7688.9,6606.8
3.2161,36200,15007.2,5850.5
3.2225,-417,10293.2,-2521.9
3.2289,0,-20022.0,-7761.6
3.2353,-12270,-695.4,-11846.6
3.2417,5830,-15267.4,-20454.9
3.2481,-56690,-46638.2,-25595.2
3.2545,-6180,-20464.7,-25968.8
3.2609,-26200,-28740.4,-26841.4
3.2673,-31830,-29495.0,-26098.9
3.2737,18840,-514.3,-17071.7
3.2801,-38810,-23167.4,-11161.4
3.2864,1050,-25379.3,-14290.8
3.2928,-7690,8387.2,-14502.9
3.2992,18320,-2841.1,-16641.7
3.3056,-43750,-36305.2,-19121.1
3.3120,-19870,-31296.8,-12023.3
3.3184,-7420,-8329.7,-8794.1
3.3248,-3,-5871.7,-11085.4
3.3312,9610,6920.8,-4020.1
3.3376,24320,16817.2,2542.3
3.3440,-17090,-15205.7,-1907.8
3.3504,-4400,-18086.9,-5806.2
3.3568,1426,9967.2,-8525.7
3.3632,0,-18655.7,-13484.3
3.3696,-38050,-28153.1,-11576.4
3.3760,21040,6746.9,-4603.4
3.3824,-8420,-8673.3,-4312.6
3.3887,-8660,-8363.4,-7622.4
3.3951,32060,16405.0,-3504.7
3.4015,-18970,-5801.3,-2427.4
3.4079,-1650,-24711.8,-8265.9
3.4143,-26680,-11830.4,-6064.6
3.4207,27890,7809.2,-5626.8
3.4271,-17700,-7361.9,-9046.3
3.4335,19,-16560.5,-4665.5
3.4399,410,10402.9,-5268.0
3.4463,6010,-12654.1,-11359.4
3.4527,-35130,-22603.9,-13429.3
3.4591,15230,-2729.5,-15764.8
3.4655,-37330,-30679.3,-17272.6
3.4719,-10370,-16814.3,-12518.6
3.4783,9340,1725.0,-5180.2
3.4847,-27900,-20617.8,-4868.1
3.4910,30290,13198.2,-3999.7
3.4974,14620,26161.2,1039.1
3.5038,-6990,-23220.0,-2504.3
3.5102,-32920,-25014.4,-4260.6
3.5166,21040,9566.2,-3813.2
3.5230,-5900,-1645.3,-11515.5
3.5294,-9420,-18687.1,-8933.2
3.5358,367,4109.0,-595.0
3.5422,20,-8500.1,-2639.7
3.5486,-16020,-14648.6,-3675.8
3.5550,25340,22719.3,-3564.3
3.5614,480,-6715.5,-6463.8
3.5678,-29700,-22670.4,-6704.4
3.5742,19460,5098.6,-6502.1
3.5806,-33680,-23479.1,-8237.8
3.5870,4430,-8594.0,-6289.9
3.5934,13530,20715.2,2867.9
3.5997,-134,-10844.3,7895.5
3.6061,80,8276.9,4442.8
3.6125,43560,29153.3,4697.6
3.6189,-11960,1545.1,4154.2
3.6253,4350,-14159.4,-1009.4
3.6317,-36010,-20247.3,-667.5
3.6381,27510,9065.6,-2230.0
3.6445,-93,15257.2,-6134.2
3.6509,40,-18229.1,-1410.2
3.6573,-8700,7417.8,1872.4
3.6637,23920,6337.2,2477.8
3.6701,-25280,-13184.9,8181.3
3.6765,31000,23223.5,14224.6
3.6829,16040,14028.4,19251.2
3.6893,16560,24319.0,18570.8
3.6957,59770,46643.0,14840.2
3.7020,-17170,-6156.8,13617.6
3.7084,-3,-6649.5,4880.0
3.7148,830,-1026.0,-5376.5
3.7212,-25620,-17234.8,-9280.9
3.7276,21490,8176.3,-12519.7
3.7340,-36790,-22418.1,-9955.8
3.7404,-7180,-20590.6,-2541.0
3.7468,14390,26186.3,2291.8
3.7532,-87,-9843.3,6067.4
3.7596,90,8686.6,9338.0
3.7660,49880,44788.9,11451.5
3.7724,-9670,-7884.1,10921.1
3.7788,-5250,-421.6,8701.0
3.7852,21660,13249.9,7735.3
3.7916,-22290,-9333.1,3531.2
3.7980,30770,19599.0,1147.3
3.8043,-6610,4533.9,3205.8
3.8107,-10730,-17194.2,-3778.2
3.8171,19,8270.2,-8883.2
3.8235,860,-6697.2,-5973.5
3.8299,-37630,-22818.3,-6782.9
3.8363,3070,-13336.3,927.3
3.8427,-4330,18224.4,10347.4
3.8491,49780,32140.2,12347.9
3.8555,-3220,12248.5,19817.4
3.8619,33200,31318.2,22499.8
3.8683,22070,18101.2,19762.8
3.8747,-16610,-755.8,16897.7
3.8811,35040,21981.8,9850.6
3.8875,-13010,1081.5,4916.5
3.8939,9920,9167.6,52.4
3.9003,9610,6952.5,-87.3
3.9066,-44380,-29881.9,1214.5
3.9130,10030,210.0,-4921.3
3.9194,-2484,9879.5,-4984.2
3.9258,0,653.9,-4553.6
3.9322,-6010,-6814.9,-8845.6
3.9386,-40790,-28459.8,-8182.5
3.9450,7840,1120.4,-9228.2
3.9514,-22400,-9296.5,-13642.4
3.9578,-32410,-36021.4,-15484.4
3.9642,18,10231.0,-13471.8
3.9706,80,-2162.5,-13517.1
3.9770,-54280,-42439.0,-14243.5
3.9834,-3080,-8082.7,-6163.1
3.9898,-10730,4619.9,-2739.8
3.9962,-2863,-10077.3,-5835.0
4.0026,0,16552.0,65.3
4.0090,19770,13725.1,3917.4
4.0153,-35740,-21785.6,1361.8
4.0217,1060,-655.4,3583.6
4.0281,5100,15403.0,7879.8
4.0345,-2,476.0,9509.3
4.0409,7800,19476.1,10018.7
4.0473,27370,24027.9,12119.8
4.0537,-6560,10903.9,11988.4
4.0601,10610,2417.8,8064.1
4.0665,-32720,-11776.9,7496.0
4.0729,25630,16395.2,7089.8
4.0793,-11,21559.7,5279.0
4.0857,900,-8925.5,8028.5
4.0921,-5450,17960.6,10108.1
4.0985,25660,15017.8,8246.7
4.1049,-29640,-8036.6,6479.3
4.1113,20680,17673.1,8058.2
4.1176,-4050,4585.7,9841.6
4.1240,-12640,1506.0,8670.7
4.1304,34890,26984.0,12362.2
4.1368,-17850,9084.7,13395.7
4.1432,18160,4695.8,8448.8
4.1496,-6770,19172.7,11321.9
4.1560,18850,11849.8,9738.7
4.1624,-25260,-7135.1,5287.2
4.1688,7320,7139.4,12117.5
4.1752,14510,29670.9,14623.4
4.1816,-179,-262.5,14055.2
4.1880,60,16556.4,16192.6
4.1944,40750,42124.9,12702.6
4.2008,-16180,-5668.0,8030.0
4.2072,-14870,-2156.2,4480.2
4.2136,4060,1749.1,2079.3
4.2199,-38390,-15451.6,319.2
4.2263,21730,16998.6,416.1
4.2327,-12580,3964.3,2988.7
4.2391,-14100,-4474.3,1409.2
4.2455,20620,19792.3,1846.2
4.2519,-34210,-8266.9,1301.8
4.2583,-7220,-19015.0,-5495.6
4.2647,-26830,4137.1,-4157.2
4.2711,16780,5815.7,-1644.8
4.2775,-37030,-9971.7,-3053.7
4.2839,11,-5621.6,4510.6
4.2903,150,22857.2,11005.2
4.2967,14240,11962.8,10079.1
4.3031,-17290,3389.1,14742.3
4.3095,34600,34298.7,22123.6
4.3159,-1315,17778.9,18848.3
4.3223,0,1065.5,10930.5
4.3286,13580,32796.5,11439.0
4.3350,13130,12850.9,11403.1
4.3414,-46490,-24682.4,5091.5
4.3478,9270,6709.4,7521.8
4.3542,13250,36543.7,14509.0
4.3606,14450,12147.1,16238.2
4.3670,-17550,4335.2,24881.6
4.3734,44190,44227.0,31370.4
4.3798,21520,41469.6,22847.8
4.3862,8470,9707.7,18046.1
4.3926,3156,22898.9,17965.2
4.3990,0,2045.5,11108.8
4.4054,-32940,-16201.5,5001.1
4.4118,15110,24021.4,2101.6
4.4182,-840,5827.2,657.4
4.4246,-27850,-7811.5,1970.6
4.4309,17470,15527.4,4433.4
4.4373,-35260,-11429.3,5329.3
4.4437,4680,4149.7,5941.7
4.4501,9170,28688.1,11891.7
4.4565,-2293,1222.7,15733.4
4.4629,0,18415.9,13136.4
4.4693,28540,29591.2,14956.3
4.4757,-13610,9622.4,16063.9
4.4821,8910,4910.7,12713.0
4.4885,-25980,824.8,13828.4
4.4949,32970,27208.3,13072.4
4.5013,-10,27444.7,10567.2
4.5077,880,-5624.5,14966.5
4.5141,-8160,20149.0,17851.7
4.5205,27320,20951.9,16928.1
4.5269,-18020,6686.2,19150.2
4.5332,36440,38580.8,24687.8
4.5396,10220,21533.1,27786.6
4.5460,2110,19349.7,22895.4
4.5524,48020,46529.9,21524.6
4.5588,-8170,15183.6,25172.9
4.5652,331,715.6,21443.3
4.5716,60,14285.9,18810.8
4.5780,21930,34569.6,17534.3
4.5844,33080,35728.9,13174.1
4.5908,-26840,-7271.2,14859.9
4.5972,1940,2741.9,17286.4
4.6036,6090,23043.0,12280.4
4.6100,-3820,602.4,1902.3
4.6164,0,14125.8,-4096.5
4.6228,7500,11856.3,554.5
4.6292,-43370,-27445.7,5200.0
4.6355,-23970,-22777.5,5603.3
4.6419,1760,19763.8,5606.5
4.6483,46970,47276.4,5655.2
4.6547,5170,21216.8,9485.8
4.6611,-27660,-23504.6,11689.3
4.6675,-22460,-13242.4,2230.8
4.6739,131,12656.4,-9417.8
4.6803,70,-1326.2,-12459.1
4.6867,-46940,-24038.8,-11451.8
4.6931,-14620,-25651.6,-7984.4
4.6995,-24920,3195.9,-7359.6
4.7059,17170,5833.7,-11694.4
4.7123,-42450,-21248.5,-7588.9
4.7187,2880,3013.0,-165.9
4.7251,-4260,2183.1,-572.2
4.7315,-31200,-18425.2,564.1
4.7379,26930,23960.2,7620.3
4.7442,-149,16290.0,12677.9
4.7506,40,-4304.7,14004.3
4.7570,17580,33866.0,18238.3
4.7634,27990,21221.7,17202.0
4.7698,-21010,-1387.7,6414.9
4.7762,26760,14912.9,4177.0
4.7826,-19060,3147.6,3671.8
4.7890,-11580,-24070.5,-5953.3
4.7954,-32250,-14255.4,-7360.4
4.8018,23790,17249.4,-5026.7
4.8082,-13060,-3346.5,-9867.9
4.8146,-27600,-28368.9,-8499.0
4.8210,1,5723.5,-1907.5
4.8274,1410,-412.3,-3619.0
4.8338,-31510,-23178.2,-4671.6
4.8402,24450,17176.2,3063.8
4.8465,6030,18339.1,6048.7
4.8529,-2249,-13947.7,5893.1
4.8593,0,13331.9,10554.4
4.8657,28600,17131.3,6082.4
4.8721,-16840,-9034.0,-6145.6
4.8785,13660,9895.2,-6540.0
4.8849,-3540,-7775.6,-76.1
4.8913,-48720,-41789.7,-861.1
4.8977,16680,2067.3,1376.9
4.9041,32530,44414.6,9102.9
4.9105,41760,24012.1,10098.1
4.9169,-18360,-7583.2,11889.5
4.9233,23290,5083.6,9497.3
4.9297,-27,10654.7,-5152.7
4.9361,590,-21571.0,-11806.9
4.9425,-30060,-16612.4,-10230.3
4.9488,7450,-17653.7,-10853.7
4.9552,-25960,-16888.8,-12666.1
4.9616,31320,15484.3,-14348.7
4.9680,-6510,-15074.3,-11137.2
4.9744,-28710,-27169.0,-12887.8
4.9808,16880,-7479.7,-14028.1
4.9872,-26230,-20471.6,-13676.4
4.9936,17760,-1833.6,-10950.9
5.0000,2640,-8158.0,-4970.2
